id,species,subject,grade
0,orc,combat,2.9537838299975316
1,orc,combat,3.424530140103118
2,orc,combat,3.6180005058961155
3,elv,magic,2.1171258708827048
4,elv,combat,3.502913989275578
5,orc,combat,3.9045804932825043
6,orc,combat,3.53049345907663
7,elv,magic,2.128262500535675
8,elv,combat,4.183070561062209
9,orc,magic,1.977111794735584
10,elv,combat,3.968815722501447
11,orc,magic,1.0
12,orc,combat,2.5789221746566264
13,orc,combat,3.3831828610078776
14,elv,magic,1.9504950460551622
15,orc,combat,3.590701874996098
16,elv,magic,2.1616887686473425
17,orc,combat,2.2174622807965
18,elv,combat,4.4948154776987295
19,elv,magic,2.2404737843842994
20,orc,combat,3.7632457427627855
21,orc,dance,1.1952390416642666
22,elv,dance,1.526255341292468
23,elv,magic,3.1139431633980985
24,elv,combat,3.386048521238411
25,orc,combat,3.158033839702063
26,orc,magic,1.9932914030345177
27,elv,combat,4.6091709519391175
28,orc,combat,2.704820336841916
29,elv,magic,3.4263774906117908
30,orc,combat,2.5057423370522756
31,elv,combat,3.548381647403695
32,elv,magic,2.657524414573246
33,orc,dance,1.0
34,elv,dance,1.6926748776304774
35,elv,magic,2.6721514056986964
36,orc,combat,3.0007629251307946
37,elv,combat,2.9929153014525363
38,orc,combat,4.723513409538551
39,orc,combat,3.9198432337429816
40,elv,magic,2.656271350024162
41,orc,combat,3.9365747128461104
42,orc,combat,2.5852550172398407
43,elv,combat,3.5333849826395993
44,elv,combat,3.9256853585448264
45,orc,magic,1.5931264011960313
46,orc,combat,1.6853792178018725
47,orc,combat,2.5778822841907445
48,orc,combat,3.368099020742249
49,elv,magic,3.2856648910794597
50,elv,magic,2.8140218262432057
51,orc,combat,1.7725597469464964
52,elv,dance,1.850845382827828
53,orc,magic,2.01169494662792
54,elv,dance,1.5984800191409314
55,orc,combat,3.7091701335018117
56,elv,magic,2.4503404142054817
57,elv,magic,2.2656184483474053
58,elv,magic,1.8193525477811434
59,orc,combat,4.11749678172314
60,elv,dance,1.607079464102396
61,elv,combat,3.321024362020842
62,orc,combat,4.1066179476093465
63,elv,magic,1.3744498082854877
64,elv,dance,1.5418621396380483
65,orc,magic,1.7217619334517695
66,elv,combat,4.028565695313665
67,elv,dance,1.4212675833243489
68,elv,magic,2.099815241126599
69,orc,combat,2.6645711012324114
70,elv,magic,2.7878250379627043
71,orc,magic,1.274451239565531
72,elv,combat,3.3759014909915246
73,orc,combat,4.307871898409668
74,elv,magic,2.533205730746178
75,elv,magic,2.245368027432101
76,orc,combat,2.1726673076622163
77,elv,combat,2.8991804991110324
78,orc,combat,3.557950515508619
79,orc,combat,3.6335709491032997
80,orc,combat,2.9230766117102
81,orc,combat,2.7988766022523337
82,elv,dance,1.6074785541318624
83,orc,combat,3.945688136859807
84,elv,combat,3.7834554226986397
85,orc,magic,2.2215245684436464
86,orc,magic,1.0598428580341623
87,orc,combat,3.3369029041714082
88,elv,magic,2.1235643910438897
89,elv,combat,2.4229318880640265
90,elv,dance,1.7110251859916188
91,orc,combat,3.1495249479626155
92,elv,combat,3.41016029548625
93,orc,combat,3.9148506223287027
94,elv,magic,1.7817584644653202
95,elv,magic,1.8669571058802252
96,elv,magic,2.2262267193658367
97,orc,combat,3.6106112821538328
98,orc,combat,3.62059934062553
99,orc,dance,1.0
100,orc,magic,2.185831703702759
101,orc,magic,2.2780943149732056
102,orc,magic,2.237298746882456
103,elv,magic,2.001639907928718
104,elv,magic,1.4746520354434494
105,orc,combat,4.084636136297035
106,elv,dance,2.1136854893272092
107,elv,combat,3.3967922346972017
108,elv,magic,3.007134384717623
109,elv,magic,2.7188445172686047
110,elv,magic,1.87377627912436
111,elv,dance,1.5057430141425097
112,elv,magic,2.2678377479988026
113,elv,combat,3.3999393699124956
114,elv,magic,1.8641214893722517
115,orc,dance,1.0
116,elv,combat,4.550447099702419
117,orc,magic,1.8456356974830042
118,elv,dance,1.8220632745406409
119,elv,combat,2.42492486256378
120,elv,combat,4.715235902587248
121,orc,magic,3.1470365165041096
122,elv,combat,3.9909527897862755
123,elv,magic,1.8938809987550893
124,orc,combat,2.9232926083128903
125,orc,combat,4.124960321326814
126,orc,combat,2.63592911465044
127,orc,combat,2.566806749729916
128,elv,combat,5.0
129,orc,combat,2.572629167549515
130,elv,magic,2.884068744238478
131,elv,magic,1.6362024411850926
132,orc,combat,3.735435246937004
133,elv,combat,3.8927972377518456
134,orc,combat,3.2348250492494617
135,elv,magic,2.8413433544588216
136,elv,magic,1.7747530713242834
137,elv,magic,1.913966916178529
138,orc,combat,2.85199317035488
139,orc,combat,3.4665767491695836
140,elv,magic,2.4262038926903164
141,orc,combat,4.957011952239049
142,elv,magic,1.9317212669448034
143,elv,magic,1.5469673274930456
144,orc,combat,3.1359934906450175
145,elv,combat,3.2583854012433866
146,elv,magic,2.4970208233961486
147,orc,combat,3.033936302381457
148,orc,magic,1.1710354504375151
149,orc,combat,2.948541404054573
150,orc,combat,3.6878388624269984
151,orc,magic,1.8476505697041723
152,elv,magic,3.5344883595070646
153,elv,magic,1.2453586386284465
154,orc,combat,3.742024540784073
155,elv,magic,1.2303285491179379
156,orc,combat,1.8963880487004388
157,elv,combat,3.886030392810319
158,orc,combat,2.9211853761423647
159,elv,dance,1.3805378809783297
160,elv,magic,2.29491968461177
161,elv,magic,2.2846330160317616
162,elv,dance,1.085874861044939
163,elv,magic,3.2211391940809153
164,orc,combat,3.4879435495652893
165,orc,combat,3.3994884265787277
166,orc,combat,3.045024384957652
167,orc,magic,1.0
168,orc,combat,3.5968473884817214
169,elv,magic,3.167969910433971
170,orc,combat,3.7742361157058495
171,elv,combat,5.0
172,orc,combat,2.9718034786838823
173,orc,combat,3.7258078435576
174,orc,magic,1.236705778302701
175,orc,combat,3.3658194024979244
176,elv,dance,2.1213241884558687
177,orc,dance,1.032852642331668
178,orc,combat,3.1823546367687854
179,elv,magic,2.5209323672965196
180,orc,combat,4.080295322689837
181,elv,magic,2.4631950325359107
182,elv,magic,2.4667480803292685
183,orc,magic,1.7034284335201515
184,elv,magic,1.6295412656364219
185,elv,magic,1.8387917425196048
186,elv,magic,1.703826664317127
187,elv,magic,2.6414304985598354
188,orc,combat,3.3736525403718116
189,orc,combat,2.1503823507075523
190,elv,magic,2.499215288167391
191,orc,magic,1.821777221269004
192,orc,combat,3.1236227471798177
193,elv,dance,1.6629692174571145
194,orc,combat,1.8339226999858007
195,elv,magic,3.1599426963259094
196,orc,combat,2.8458449555921868
197,orc,combat,3.4736822804483523
198,elv,combat,3.2147819737570327
199,orc,combat,4.192541032552499
200,orc,combat,3.4551421620602487
201,elv,dance,1.2007113859005696
202,orc,magic,1.8191527658494357
203,orc,magic,2.1622924493190903
204,elv,magic,1.6597883012283714
205,elv,magic,2.5600737091081456
206,elv,dance,1.2304068037835802
207,orc,dance,1.0
208,orc,combat,2.711127157641095
209,orc,magic,1.7446571129030062
210,elv,combat,3.4550575172558453
211,elv,magic,2.3394706082125443
212,orc,magic,1.6246310922460248
213,elv,magic,2.152513738843506
214,elv,magic,2.1084689784731054
215,elv,magic,2.343141545838189
216,orc,combat,3.7522155304691
217,elv,dance,1.9239781518288697
218,orc,combat,3.282714923382401
219,orc,combat,3.3356646030996133
220,elv,magic,1.6130813934958685
221,orc,combat,3.794186060378767
222,elv,dance,1.6626492646127071
223,orc,combat,3.3473740218994052
224,elv,combat,3.479559814596563
225,elv,magic,1.6936334636938992
226,orc,combat,3.421754459590273
227,orc,combat,2.4051185109930464
228,orc,magic,1.690948805245929
229,elv,magic,2.7515605253479616
230,orc,combat,2.546003003492642
231,elv,combat,4.285229441964594
232,orc,combat,4.433864459308413
233,orc,combat,3.0372830653191234
234,elv,magic,2.09891798400036
235,orc,combat,3.260459327517075
236,orc,combat,2.671118186849794
237,elv,magic,1.3237480016695597
238,orc,dance,1.4697921448467548
239,orc,combat,3.994587865956701
240,orc,combat,3.045821358938392
241,orc,dance,1.5687255781725131
242,elv,magic,1.6314219061813753
243,elv,magic,3.017404053332145
244,elv,magic,1.9032764919886107
245,orc,combat,2.8610382151321505
246,elv,magic,2.5205517108348463
247,orc,magic,1.6409457291796403
248,orc,combat,4.227283959478248
249,orc,combat,2.2623414349775803
250,orc,combat,3.8438836575174755
251,elv,combat,2.51482756209548
252,orc,combat,2.9531352932360653
253,orc,combat,3.366585468509609
254,orc,magic,1.4768840153116716
255,orc,magic,2.125250955664277
256,elv,magic,2.1600036620611065
257,elv,magic,3.2826146763157045
258,elv,combat,3.1879061642924036
259,elv,magic,2.0540860219997623
260,orc,combat,3.546288389827755
261,orc,magic,1.512542834431808
262,elv,magic,2.652988602503028
263,elv,magic,2.5747460505355417
264,orc,dance,1.0
265,orc,combat,2.724547390393695
266,orc,combat,3.1613271524923863
267,elv,dance,1.6692054311885527
268,orc,combat,2.8211057777407054
269,elv,magic,3.1563249645441624
270,orc,combat,3.7646013161704523
271,elv,dance,1.6468415126949865
272,orc,magic,1.8563044069457293
273,elv,combat,2.997727562437159
274,orc,combat,2.166765236748883
275,orc,combat,4.578051629533304
276,elv,combat,3.63403059241802
277,orc,combat,2.8878221419576464
278,elv,magic,2.7638065982103055
279,elv,combat,2.540508453274213
280,elv,dance,1.5915472317542902
281,elv,magic,2.550762658551212
