Word,Frequency
the,4835
to,4371
of,3952
and,3780
her,2252
i,2078
a,2076
in,2034
was,1873
she,1726
that,1598
it,1586
not,1517
you,1403
he,1347
his,1288
be,1276
as,1238
had,1180
with,1144
for,1108
but,1023
is,942
have,883
at,829
mr,805
him,760
on,744
by,721
my,707
all,660
so,607
they,607
elizabeth,603
which,568
were,568
been,535
could,531
from,525
no,511
very,502
this,499
what,489
would,480
their,450
your,446
me,435
them,435
will,422
said,405
such,398
or,397
are,390
when,388
if,382
an,381
darcy,378
do,364
there,363
mrs,356
much,336
more,334
am,324
must,322
any,319
miss,315
bennet,307
than,303
who,300
one,279
jane,271
did,270
we,265
bingley,261
should,256
has,255
know,241
how,237
other,237
herself,234
though,233
before,232
never,228
can,227
only,224
think,222
may,216
soon,215
well,215
some,209
now,208
might,205
after,205
most,204
time,200
own,195
little,190
lady,189
without,185
every,185
nothing,183
again,182
being,181
sister,176
good,172
make,172
then,172
collins,167
wickham,166
shall,164
illustration,163
dear,163
first,160
say,159
see,156
family,152
man,147
great,146
into,145
too,144
two,140
out,140
however,137
ever,136
lydia,135
about,134
made,132
young,132
us,132
day,132
himself,131
give,131
hope,126
always,125
its,124
away,123
many,122
long,120
last,119
cannot,117
letter,117
catherine,116
way,115
up,115
father,115
sisters,114
thought,112
enough,111
room,109
mother,108
house,106
friend,106
go,105
felt,105
sure,105
replied,103
saw,101
love,101
come,98
better,98
quite,98
wish,98
where,97
even,97
indeed,96
lizzy,95
myself,95
till,95
came,94
over,94
manner,94
having,93
pleasure,93
often,93
feelings,92
done,91
oh,91
cried,91
does,90
really,90
believe,90
chapter,89
project,89
whom,89
like,89
longbourn,88
subject,88
perhaps,87
gutenberg,87
heard,85
gardiner,84
ladies,83
take,83
anything,82
aunt,82
happy,82
less,81
while,81
these,80
whole,80
sir,79
down,79
our,79
yet,78
seen,78
daughter,77
certainly,77
just,77
let,77
still,76
morning,76
looked,75
place,75
something,75
same,74
both,73
few,73
netherfield,73
upon,73
happiness,72
added,72
next,72
nor,72
hear,72
therefore,72
world,72
least,72
evening,72
here,71
told,71
present,71
kind,71
towards,70
tell,70
kitty,70
found,70
attention,70
charlotte,70
speak,70
went,69
yes,68
opinion,67
town,67
colonel,67
character,67
seemed,67
work,67
received,66
between,66
home,66
each,66
marriage,66
left,66
lucas,66
almost,66
those,65
moment,65
part,65
together,64
either,64
answer,64
because,64
half,64
leave,63
off,62
others,62
rather,62
once,62
conversation,62
means,62
immediately,61
given,61
passed,61
gone,61
affection,61
find,61
brother,61
friends,61
woman,61
acquaintance,61
uncle,60
married,60
party,60
far,60
whose,60
everything,60
three,59
look,59
began,59
life,59
seeing,59
possible,59
since,59
whether,59
coming,58
certain,58
london,58
daughters,57
pride,57
another,57
knew,57
side,57
mind,57
meryton,57
going,57
known,56
took,55
general,55
behaviour,55
gave,54
return,54
visit,54
pemberley,54
bingleys,54
against,54
able,54
eyes,53
why,53
get,53
reason,53
perfectly,53
course,53
word,52
continued,52
person,52
idea,51
walk,51
hardly,50
regard,50
rosings,49
people,49
suppose,49
ill,49
settled,48
want,48
sense,48
read,48
business,48
yourself,48
object,48
darcys,47
right,47
wife,47
agreeable,47
impossible,47
point,47
girls,46
best,46
heart,46
country,46
called,46
manners,46
walked,46
marry,46
george,46
short,46
back,45
scarcely,45
through,45
help,45
returned,45
longer,44
carriage,44
spoke,44
ought,44
civility,44
turned,43
terms,43
expected,43
husband,43
de,43
else,43
doubt,42
honour,42
rest,42
mary,42
power,42
years,42
cousin,42
sometimes,41
likely,41
talking,41
assure,41
met,40
convinced,40
engaged,40
under,40
poor,40
account,40
elizabeths,40
stay,40
entered,40
brought,40
asked,40
hertfordshire,40
lydias,40
william,40
feel,40
fortune,39
girl,39
different,39
dare,39
spirits,39
write,39
neither,39
days,39
bennets,39
former,39
situation,38
_that_,38
within,38
talked,38
pleased,38
sat,38
forster,38
set,38
handsome,37
also,37
things,37
wished,37
gentlemen,37
near,37
sort,37
beyond,37
occasion,37
believed,37
minutes,37
everybody,37
afraid,37
surprise,37
men,37
glad,36
feeling,36
care,36
1894,36
bourgh,36
amiable,36
saying,35
sorry,35
case,35
information,35
expect,35
deal,35
wishes,35
four,35
door,35
wonder,35
merely,35
put,34
real,34
answered,34
advantage,34
respect,34
thousand,34
works,34
mean,34
themselves,34
end,34
surprised,34
satisfied,34
determined,34
night,34
usual,34
silence,34
hour,34
_copyright,34
allen_,34
invitation,34
_you_,33
particularly,33
whatever,33
ball,33
full,33
consider,33
ask,33
officers,33
head,33
name,33
taken,33
sensible,32
early,32
appear,32
exactly,32
society,32
meet,32
hurst,32
allow,32
